,cold,drought,genotoxic,heat,osmotic,salt,UVB,Wounding
At1g16830,0,0,0,0,0,0,1,0
At1g16850,0,0,0,0,1,1,0,1
At1g16860,0,0,0,0,0,0,0,1
At1g17145,0,0,0,1,0,0,0,0
At1g17180,0,0,0,0,0,0,1,0
At1g17240,0,0,0,0,0,0,1,0
At1g17290,0,0,0,0,0,0,1,0
At1g17380,1,1,0,0,1,0,1,1
At1g17420,1,1,0,0,1,0,1,1
At1g17455,0,0,0,1,0,0,0,0
At1g17460,0,0,1,1,0,0,0,0
At1g17530,0,0,0,1,0,0,0,0
At1g17550,0,0,0,0,1,1,0,0
At1g17600,1,0,0,0,0,0,1,0
At1g17610,0,0,0,0,0,0,1,0
At1g17620,0,0,0,0,0,0,0,1
At1g17745,0,1,0,0,1,1,1,0
At1g17750,0,1,0,0,0,0,1,1
At1g17870,1,0,0,1,1,1,0,0
At1g17980,0,0,0,0,0,0,0,1
At1g18030,0,0,0,1,0,0,0,0
At1g18100,0,0,0,0,0,1,0,0
At1g18210,1,0,0,0,0,0,1,1
At1g18260,0,0,0,1,0,0,0,0
At1g18320,0,0,0,0,0,0,1,0
At1g18330,0,0,0,1,0,0,0,0
At1g18380,0,0,0,0,1,0,1,0
At1g18390,0,0,0,0,1,0,1,0
At1g18400,0,0,0,0,0,0,1,0
At1g18480,0,0,0,0,0,0,1,0
At1g18570,0,0,0,0,1,0,1,0
At1g18590,0,0,0,0,0,0,0,1
At1g18630,0,0,0,1,0,0,1,0
At1g18680,0,0,0,1,0,0,0,0
At1g18710,0,1,0,0,1,1,0,1
At1g18740,1,1,0,0,0,0,0,1
At1g18830,0,0,0,0,0,1,0,0
At1g18850,0,0,0,1,0,0,1,0
At1g18870,0,0,0,0,1,1,0,0
At1g18890,0,0,0,0,1,0,1,0
At1g18900,0,0,0,0,0,0,1,0
At1g18990,0,1,0,0,0,0,0,0
At1g19020,0,1,0,0,1,0,1,1
At1g19025,0,0,0,0,0,0,1,0
At1g19050,1,0,0,0,0,0,0,1
At1g19130,0,0,0,0,0,0,1,0
At1g19180,1,1,0,0,1,0,1,1
At1g19200,0,0,0,0,1,0,0,0
At1g19210,0,1,0,0,0,0,0,1
At1g19230,0,0,0,1,1,0,1,0
At1g19250,0,0,0,0,0,0,1,0
At1g19270,0,0,0,0,0,0,1,0
At1g19300,1,1,0,0,1,0,0,1
At1g19310,0,0,0,0,0,0,0,1
At1g19330,0,0,0,0,0,1,0,0
At1g19370,1,0,0,0,0,0,0,0
At1g19380,0,0,0,0,0,0,1,1
At1g19410,0,0,0,1,0,0,0,0
At1g19510,0,0,0,0,0,0,1,0
At1g19540,0,0,0,0,0,0,0,1
At1g19570,0,1,0,0,0,1,0,1
At1g19630,0,0,0,0,1,1,0,0
